payment_id,order_id,payment_method,payment_status,amount_paid,payment_date
1,1,CARD,SUCCESS,1,2024-03-12
2,2,CARD,SUCCESS,1,2023-09-23
3,3,UPI,SUCCESS,1,2023-07-18
4,4,NETBANKING,SUCCESS,1,2024-12-26
5,5,CARD,SUCCESS,1,2023-12-07
6,6,NETBANKING,SUCCESS,1,2023-04-16
7,7,NETBANKING,SUCCESS,1,2022-04-23
8,8,NETBANKING,SUCCESS,1,2024-07-19
9,9,NETBANKING,SUCCESS,1,2024-07-26
10,10,NETBANKING,SUCCESS,1,2024-10-29
11,11,CARD,SUCCESS,1,2024-06-07
12,12,NETBANKING,SUCCESS,1,2024-07-19
13,13,NETBANKING,SUCCESS,1,2024-11-03
14,14,NETBANKING,SUCCESS,1,2024-06-02
15,15,CARD,SUCCESS,1,2024-11-28
16,16,NETBANKING,SUCCESS,1,2023-06-12
17,17,CARD,SUCCESS,1,2024-08-01
18,18,NETBANKING,SUCCESS,1,2024-07-31
19,19,CARD,SUCCESS,1,2024-01-20
20,20,CARD,SUCCESS,1,2023-03-18
21,21,UPI,SUCCESS,1,2023-07-04
22,22,UPI,SUCCESS,1,2024-02-23
23,23,UPI,SUCCESS,1,2024-08-23
24,24,NETBANKING,SUCCESS,1,2024-02-06
25,25,CARD,SUCCESS,1,2022-04-20
26,26,CARD,SUCCESS,1,2023-06-10
27,27,NETBANKING,SUCCESS,1,2023-05-11
28,28,UPI,SUCCESS,1,2024-12-31
29,29,NETBANKING,SUCCESS,1,2023-03-07
30,30,UPI,SUCCESS,1,2023-09-13
31,31,UPI,SUCCESS,1,2024-05-31
32,32,NETBANKING,SUCCESS,1,2024-02-10
33,33,NETBANKING,SUCCESS,1,2023-05-06
34,34,CARD,SUCCESS,1,2022-09-28
35,35,UPI,SUCCESS,1,2024-01-09
36,36,CARD,SUCCESS,1,2024-05-30
37,37,NETBANKING,SUCCESS,1,2024-04-15
38,38,NETBANKING,SUCCESS,1,2021-12-18
39,39,NETBANKING,SUCCESS,1,2024-07-11
40,40,UPI,SUCCESS,1,2021-08-19
41,41,NETBANKING,SUCCESS,1,2023-08-04
42,42,UPI,SUCCESS,1,2023-05-05
43,43,NETBANKING,SUCCESS,1,2024-08-27
44,44,UPI,SUCCESS,1,2024-02-29
45,45,CARD,SUCCESS,1,2024-11-28
46,46,NETBANKING,SUCCESS,1,2024-12-16
47,47,CARD,SUCCESS,1,2024-11-08
48,48,CARD,SUCCESS,1,2024-10-25
49,49,UPI,SUCCESS,1,2023-11-27
50,50,CARD,SUCCESS,1,2024-06-05
51,51,NETBANKING,SUCCESS,1,2022-12-30
52,52,UPI,SUCCESS,1,2024-08-26
53,53,NETBANKING,SUCCESS,1,2024-12-03
54,54,UPI,FAILED,0,2021-08-03
55,55,UPI,SUCCESS,1,2022-07-20
56,56,CARD,SUCCESS,1,2024-02-24
57,57,CARD,SUCCESS,1,2022-12-15
58,58,CARD,SUCCESS,1,2024-08-12
59,59,UPI,SUCCESS,1,2024-10-15
60,60,NETBANKING,SUCCESS,1,2022-12-28
61,61,NETBANKING,SUCCESS,1,2022-08-02
62,62,UPI,SUCCESS,1,2022-08-23
63,63,UPI,SUCCESS,1,2024-10-30
64,64,NETBANKING,SUCCESS,1,2024-12-25
65,65,NETBANKING,SUCCESS,1,2024-09-03
66,66,CARD,FAILED,0,2024-08-02
67,67,CARD,SUCCESS,1,2023-08-05
68,68,NETBANKING,SUCCESS,1,2024-10-25
69,69,CARD,SUCCESS,1,2023-08-12
70,70,NETBANKING,SUCCESS,1,2021-10-26
71,71,CARD,SUCCESS,1,2024-12-12
72,72,UPI,SUCCESS,1,2024-05-13
73,73,NETBANKING,SUCCESS,1,2024-05-16
74,74,CARD,SUCCESS,1,2024-06-27
75,75,CARD,SUCCESS,1,2021-12-02
76,76,NETBANKING,SUCCESS,1,2022-08-15
77,77,NETBANKING,SUCCESS,1,2021-07-14
78,78,UPI,SUCCESS,1,2022-10-20
79,79,UPI,FAILED,0,2021-07-04
80,80,NETBANKING,SUCCESS,1,2024-09-22
81,81,UPI,SUCCESS,1,2024-04-18
82,82,CARD,SUCCESS,1,2024-03-24
83,83,CARD,FAILED,0,2024-12-20
84,84,NETBANKING,SUCCESS,1,2024-05-09
85,85,CARD,SUCCESS,1,2023-07-29
86,86,NETBANKING,SUCCESS,1,2024-02-14
87,87,UPI,SUCCESS,1,2024-04-03
88,88,CARD,SUCCESS,1,2021-12-19
89,89,UPI,SUCCESS,1,2024-10-19
90,90,CARD,SUCCESS,1,2024-04-23
91,91,NETBANKING,SUCCESS,1,2023-03-13
92,92,CARD,SUCCESS,1,2022-03-08
93,93,CARD,SUCCESS,1,2023-03-25
94,94,NETBANKING,SUCCESS,1,2022-05-05
95,95,NETBANKING,SUCCESS,1,2024-08-01
96,96,NETBANKING,FAILED,0,2024-02-20
97,97,NETBANKING,SUCCESS,1,2024-08-11
98,98,UPI,SUCCESS,1,2024-10-31
99,99,CARD,SUCCESS,1,2024-10-29
100,100,CARD,SUCCESS,1,2022-12-21
101,101,NETBANKING,SUCCESS,1,2023-09-07
102,102,UPI,SUCCESS,1,2024-11-26
103,103,UPI,SUCCESS,1,2022-04-23
104,104,UPI,SUCCESS,1,2022-02-24
105,105,CARD,SUCCESS,1,2021-06-16
106,106,NETBANKING,SUCCESS,1,2022-06-23
107,107,CARD,SUCCESS,1,2021-10-08
108,108,UPI,SUCCESS,1,2022-08-16
109,109,UPI,SUCCESS,1,2024-09-16
110,110,CARD,SUCCESS,1,2023-11-15
111,111,UPI,SUCCESS,1,2024-10-07
112,112,UPI,SUCCESS,1,2024-12-16
113,113,NETBANKING,SUCCESS,1,2024-11-09
114,114,UPI,SUCCESS,1,2024-02-19
115,115,CARD,SUCCESS,1,2024-06-03
116,116,UPI,SUCCESS,1,2022-08-13
117,117,NETBANKING,SUCCESS,1,2024-09-03
118,118,NETBANKING,SUCCESS,1,2024-04-16
119,119,NETBANKING,SUCCESS,1,2024-08-15
120,120,NETBANKING,SUCCESS,1,2021-05-05
121,121,UPI,SUCCESS,1,2024-05-08
122,122,UPI,SUCCESS,1,2024-06-25
123,123,CARD,SUCCESS,1,2024-04-06
124,124,NETBANKING,SUCCESS,1,2024-06-16
125,125,UPI,SUCCESS,1,2023-10-24
126,126,NETBANKING,SUCCESS,1,2024-07-27
127,127,NETBANKING,SUCCESS,1,2024-08-25
128,128,CARD,SUCCESS,1,2024-06-17
129,129,CARD,SUCCESS,1,2024-07-13
130,130,NETBANKING,SUCCESS,1,2023-10-05
131,131,CARD,SUCCESS,1,2024-05-07
132,132,NETBANKING,SUCCESS,1,2024-01-31
133,133,NETBANKING,SUCCESS,1,2024-05-24
134,134,NETBANKING,SUCCESS,1,2023-07-20
135,135,NETBANKING,SUCCESS,1,2023-07-13
136,136,UPI,SUCCESS,1,2024-02-08
137,137,UPI,SUCCESS,1,2024-06-24
138,138,UPI,SUCCESS,1,2023-09-22
139,139,UPI,SUCCESS,1,2024-04-15
140,140,NETBANKING,FAILED,0,2022-06-30
141,141,NETBANKING,SUCCESS,1,2024-05-13
142,142,NETBANKING,SUCCESS,1,2024-02-25
143,143,NETBANKING,SUCCESS,1,2022-09-04
144,144,UPI,SUCCESS,1,2022-09-14
145,145,NETBANKING,FAILED,0,2024-04-11
146,146,NETBANKING,SUCCESS,1,2021-04-19
147,147,UPI,SUCCESS,1,2021-07-13
148,148,UPI,SUCCESS,1,2021-02-25
149,149,NETBANKING,SUCCESS,1,2023-12-19
150,150,UPI,SUCCESS,1,2023-05-19
151,151,UPI,FAILED,0,2024-06-13
152,152,UPI,SUCCESS,1,2024-02-23
153,153,UPI,SUCCESS,1,2024-08-16
154,154,NETBANKING,SUCCESS,1,2023-12-21
155,155,UPI,SUCCESS,1,2024-05-14
156,156,UPI,FAILED,0,2024-03-02
157,157,UPI,SUCCESS,1,2024-05-31
158,158,UPI,SUCCESS,1,2023-04-28
159,159,CARD,SUCCESS,1,2024-09-12
160,160,UPI,SUCCESS,1,2024-08-06
161,161,NETBANKING,SUCCESS,1,2024-10-31
162,162,NETBANKING,SUCCESS,1,2024-09-11
163,163,UPI,SUCCESS,1,2024-08-17
164,164,UPI,SUCCESS,1,2022-12-23
165,165,UPI,SUCCESS,1,2024-05-12
166,166,NETBANKING,SUCCESS,1,2023-10-21
167,167,UPI,SUCCESS,1,2023-02-04
168,168,NETBANKING,SUCCESS,1,2024-03-02
169,169,CARD,SUCCESS,1,2024-08-13
170,170,UPI,SUCCESS,1,2021-08-12
171,171,UPI,SUCCESS,1,2022-04-29
172,172,UPI,SUCCESS,1,2023-04-18
173,173,CARD,SUCCESS,1,2024-12-07
174,174,UPI,SUCCESS,1,2024-10-19
175,175,CARD,SUCCESS,1,2024-12-04
176,176,CARD,SUCCESS,1,2024-10-22
177,177,CARD,SUCCESS,1,2024-12-12
178,178,NETBANKING,SUCCESS,1,2024-11-19
179,179,UPI,SUCCESS,1,2024-11-22
180,180,NETBANKING,SUCCESS,1,2024-11-24
181,181,UPI,SUCCESS,1,2024-10-25
182,182,CARD,SUCCESS,1,2024-12-23
183,183,NETBANKING,SUCCESS,1,2024-12-11
184,184,CARD,SUCCESS,1,2021-09-19
185,185,CARD,SUCCESS,1,2023-09-28
186,186,NETBANKING,SUCCESS,1,2022-10-18
187,187,UPI,SUCCESS,1,2024-08-27
188,188,UPI,SUCCESS,1,2024-09-02
189,189,CARD,SUCCESS,1,2024-08-02
190,190,UPI,SUCCESS,1,2024-01-23
191,191,UPI,SUCCESS,1,2023-07-11
192,192,CARD,SUCCESS,1,2024-10-10
193,193,NETBANKING,FAILED,0,2024-08-15
194,194,UPI,SUCCESS,1,2024-03-16
195,195,UPI,SUCCESS,1,2024-12-11
196,196,CARD,SUCCESS,1,2024-08-14
197,197,CARD,SUCCESS,1,2024-09-20
198,198,NETBANKING,SUCCESS,1,2024-10-15
199,199,CARD,SUCCESS,1,2024-09-21
200,200,NETBANKING,SUCCESS,1,2024-08-15
201,201,CARD,SUCCESS,1,2023-09-15
202,202,NETBANKING,SUCCESS,1,2021-07-16
203,203,CARD,SUCCESS,1,2022-09-18
204,204,NETBANKING,SUCCESS,1,2024-12-01
205,205,NETBANKING,SUCCESS,1,2024-02-20
206,206,CARD,SUCCESS,1,2024-09-27
207,207,UPI,SUCCESS,1,2024-11-25
208,208,CARD,SUCCESS,1,2023-02-05
209,209,NETBANKING,SUCCESS,1,2024-07-07
210,210,CARD,SUCCESS,1,2024-09-01
211,211,CARD,SUCCESS,1,2024-08-20
212,212,UPI,SUCCESS,1,2024-07-16
213,213,UPI,SUCCESS,1,2024-04-03
214,214,NETBANKING,SUCCESS,1,2024-05-25
215,215,UPI,SUCCESS,1,2024-11-07
216,216,NETBANKING,SUCCESS,1,2023-02-24
217,217,UPI,SUCCESS,1,2024-09-09
218,218,CARD,SUCCESS,1,2024-10-16
219,219,CARD,SUCCESS,1,2024-06-07
220,220,NETBANKING,SUCCESS,1,2024-06-28
221,221,UPI,SUCCESS,1,2024-11-21
222,222,NETBANKING,SUCCESS,1,2024-08-02
223,223,CARD,SUCCESS,1,2024-06-15
224,224,CARD,SUCCESS,1,2024-11-10
225,225,CARD,SUCCESS,1,2024-01-24
226,226,NETBANKING,SUCCESS,1,2024-12-03
227,227,UPI,SUCCESS,1,2023-05-03
228,228,CARD,SUCCESS,1,2024-12-13
229,229,NETBANKING,SUCCESS,1,2023-02-09
230,230,CARD,SUCCESS,1,2023-10-03
231,231,UPI,SUCCESS,1,2024-12-18
232,232,CARD,SUCCESS,1,2024-11-19
233,233,UPI,SUCCESS,1,2021-09-26
234,234,CARD,SUCCESS,1,2024-01-14
235,235,CARD,SUCCESS,1,2024-04-14
236,236,UPI,SUCCESS,1,2024-12-28
237,237,NETBANKING,SUCCESS,1,2023-06-12
238,238,UPI,SUCCESS,1,2021-08-27
239,239,NETBANKING,SUCCESS,1,2024-07-17
240,240,CARD,SUCCESS,1,2024-05-28
241,241,CARD,SUCCESS,1,2024-11-04
242,242,NETBANKING,SUCCESS,1,2024-12-22
243,243,NETBANKING,SUCCESS,1,2024-11-13
244,244,UPI,SUCCESS,1,2024-11-27
245,245,CARD,SUCCESS,1,2024-12-04
246,246,CARD,SUCCESS,1,2024-07-03
247,247,UPI,SUCCESS,1,2024-07-31
248,248,UPI,SUCCESS,1,2024-09-09
249,249,NETBANKING,SUCCESS,1,2024-08-06
250,250,NETBANKING,SUCCESS,1,2024-08-01
251,251,NETBANKING,SUCCESS,1,2024-05-28
252,252,UPI,SUCCESS,1,2023-06-08
253,253,NETBANKING,SUCCESS,1,2022-06-13
254,254,UPI,SUCCESS,1,2023-07-09
255,255,CARD,SUCCESS,1,2023-11-17
256,256,UPI,SUCCESS,1,2023-09-10
257,257,NETBANKING,SUCCESS,1,2022-07-04
258,258,CARD,SUCCESS,1,2022-02-02
259,259,UPI,SUCCESS,1,2021-10-23
260,260,NETBANKING,SUCCESS,1,2023-01-15
261,261,UPI,SUCCESS,1,2024-08-21
262,262,UPI,SUCCESS,1,2024-09-24
263,263,CARD,SUCCESS,1,2023-08-05
264,264,UPI,SUCCESS,1,2023-11-08
265,265,UPI,SUCCESS,1,2023-01-19
266,266,UPI,FAILED,0,2024-02-20
267,267,NETBANKING,SUCCESS,1,2023-02-21
268,268,NETBANKING,SUCCESS,1,2022-04-19
269,269,NETBANKING,SUCCESS,1,2024-02-09
270,270,NETBANKING,SUCCESS,1,2023-06-06
271,271,NETBANKING,SUCCESS,1,2023-11-12
272,272,NETBANKING,SUCCESS,1,2023-04-23
273,273,UPI,SUCCESS,1,2024-11-07
274,274,UPI,SUCCESS,1,2024-11-03
275,275,CARD,SUCCESS,1,2024-11-12
276,276,NETBANKING,SUCCESS,1,2025-01-01
277,277,NETBANKING,SUCCESS,1,2024-09-06
278,278,CARD,SUCCESS,1,2024-12-03
279,279,UPI,SUCCESS,1,2024-11-02
280,280,UPI,SUCCESS,1,2024-10-31
281,281,NETBANKING,SUCCESS,1,2024-10-07
282,282,UPI,SUCCESS,1,2024-05-16
283,283,NETBANKING,SUCCESS,1,2023-05-13
