order_id,user_id,order_date,order_status
1,1,2024-03-12,CANCELLED
2,2,2023-09-23,DELIVERED
3,2,2023-07-18,DELIVERED
4,3,2024-12-26,DELIVERED
5,4,2023-12-07,DELIVERED
6,4,2023-04-16,DELIVERED
7,4,2022-04-23,DELIVERED
8,5,2024-07-19,DELIVERED
9,5,2024-07-26,DELIVERED
10,5,2024-10-29,DELIVERED
11,5,2024-06-07,DELIVERED
12,5,2024-07-19,DELIVERED
13,6,2024-11-03,DELIVERED
14,7,2024-06-02,DELIVERED
15,8,2024-11-28,DELIVERED
16,9,2023-06-12,DELIVERED
17,10,2024-08-01,DELIVERED
18,10,2024-07-31,DELIVERED
19,10,2024-01-20,DELIVERED
20,11,2023-03-18,DELIVERED
21,12,2023-07-04,DELIVERED
22,13,2024-02-23,CANCELLED
23,13,2024-08-23,DELIVERED
24,13,2024-02-06,DELIVERED
25,13,2022-04-20,DELIVERED
26,13,2023-06-10,DELIVERED
27,14,2023-05-11,DELIVERED
28,15,2024-12-31,DELIVERED
29,16,2023-03-07,DELIVERED
30,16,2023-09-13,DELIVERED
31,16,2024-05-31,DELIVERED
32,16,2024-02-10,DELIVERED
33,16,2023-05-06,DELIVERED
34,17,2022-09-28,CANCELLED
35,18,2024-01-09,CANCELLED
36,18,2024-05-30,DELIVERED
37,18,2024-04-15,DELIVERED
38,19,2021-12-18,DELIVERED
39,19,2024-07-11,DELIVERED
40,19,2021-08-19,DELIVERED
41,19,2023-08-04,DELIVERED
42,19,2023-05-05,DELIVERED
43,20,2024-08-27,DELIVERED
44,21,2024-02-29,DELIVERED
45,22,2024-11-28,DELIVERED
46,23,2024-12-16,DELIVERED
47,23,2024-11-08,CANCELLED
48,23,2024-10-25,DELIVERED
49,24,2023-11-27,DELIVERED
50,25,2024-06-05,DELIVERED
51,25,2022-12-30,DELIVERED
52,25,2024-08-26,DELIVERED
53,26,2024-12-03,DELIVERED
54,27,2021-08-03,DELIVERED
55,28,2022-07-20,DELIVERED
56,28,2024-02-24,DELIVERED
57,29,2022-12-15,DELIVERED
58,30,2024-08-12,DELIVERED
59,30,2024-10-15,DELIVERED
60,31,2022-12-28,DELIVERED
61,32,2022-08-02,DELIVERED
62,32,2022-08-23,DELIVERED
63,33,2024-10-30,DELIVERED
64,33,2024-12-25,DELIVERED
65,33,2024-09-03,DELIVERED
66,34,2024-08-02,DELIVERED
67,35,2023-08-05,DELIVERED
68,36,2024-10-25,DELIVERED
69,37,2023-08-12,DELIVERED
